Any,Variacio_Salari,Variacio_Index
2009-06-01,-7.724674311095514,-0.49890241468768526
2010-06-01,-6.838843650871517,1.7024138175125714
2011-06-01,-8.528464832390636,3.2596717127776786
2012-06-01,-11.01782114951818,2.162556872437227
2013-06-01,-11.130974754118894,2.5632285023092116
2014-06-01,-10.50331234730314,0.3891884937440304
2015-06-01,-9.531807930840063,0.33748424717516823
2016-06-01,26.467508933589134,-0.5290047897817951
2017-06-01,26.608134531817896,1.7377719281350013
2018-06-01,21.99210604403867,2.4159365566856383
2019-06-01,19.644733905989842,0.739417092858452
2020-06-01,11.78874234466094,-0.5749587130711276
2021-06-01,11.207308985152897,2.599200246078137
2022-06-01,12.067643109757697,9.72467895867688
2023-06-01,11.53504357110573,1.878028343473348
2002-07-01,12.383637736486675,-39.338268161418945
2003-07-01,12.525145542355087,3.2525237639083215
2004-07-01,-19.896868384476964,3.836601866917877
2005-07-01,-19.169577128315662,3.9051546391752456
2006-07-01,-15.008675809735038,4.09572568162877
2007-07-01,-13.770113970355025,2.507402747594889
2008-07-01,-8.853718920143683,5.146293082072906
2009-07-01,-7.724674311095514,-0.8996474513919273
2010-07-01,-6.838843650871517,2.209451741861801
2011-07-01,-8.528464832390636,3.2349688609510485
2012-07-01,-11.01782114951818,2.588967570249423
2013-07-01,-11.130974754118894,2.053198505165965
2014-07-01,-10.50331234730314,0.03661899017750603
2015-07-01,-9.531807930840063,0.3574427768566535
2016-07-01,26.467508933589134,-0.35402407363700483
2017-07-01,26.608134531817896,1.8969897937211933
2018-07-01,21.99210604403867,2.299093464066093
2019-07-01,19.644733905989842,0.7694532234409523
2020-07-01,11.78874234466094,-0.8158496212858801
2021-07-01,11.207308985152897,2.7570243151357143
2022-07-01,12.067643109757697,10.30782690895926
2023-07-01,11.53504357110573,2.3028744906052667
2002-08-01,12.383637736486675,-39.34144276611862
2003-08-01,12.525145542355087,3.506787330316752
2004-08-01,-19.896868384476964,3.852104179973037
2005-08-01,-19.169577128315662,3.7679891757438355
2006-08-01,-15.008675809735038,3.8682401285462076
2007-08-01,-13.770113970355025,2.3597884939705605
2008-08-01,-8.853718920143683,4.847381200138745
2009-08-01,-7.724674311095514,-0.34145822748916643
2010-08-01,-6.838843650871517,2.110304927206341
2011-08-01,-8.528464832390636,3.0350176481515945
2012-08-01,-11.01782114951818,3.098870884136029
2013-08-01,-11.130974754118894,1.7455078039609884
2014-08-01,-10.50331234730314,-0.05800900213773774
2015-08-01,-9.531807930840063,-0.11071102273337852
